"city","state","zipcode","areacode","FIPS","County","PrefApprovedNot","Type"
"Ages Brookside","KY","40801","606","21095","Harlan","P","P"
"Aggieland","TX","77844","979","48041","Brazos","N","P"
"Agnes","GA","30817","706","13181","Lincoln","N",
"Agness","OR","97406","541","41015","Curry","P",
"Agnew","NE","68428","402","31109","Lancaster","A",
"Agnew","WA","98362","360","53009","Clallam","N",
"Agoura","CA","91301","818","06037","Los Angeles","A",
"Agoura","CA","91376","818","06037","Los Angeles","A","P"
"Agoura Hills","CA","91301","818","06037","Los Angeles","P",
"Agoura Hills","CA","91376","818","06037","Los Angeles","P","P"
"Agoura Hills","CA","91377","805","06111","Ventura","A",
"Agra","KS","67621","785","20147","Phillips","P",
"Agra","OK","74824","918","40081","Lincoln","P",
"Agricola","MS","39452","601","28039","George","A",
"Agua Caliente","CA","95476","707","06097","Sonoma","N",
"Agua Dulce","CA","91350","661","06037","Los Angeles","A",
"Agua Dulce","CA","91390","661","06037","Los Angeles","A",
"Agua Dulce","TX","78330","361","48355","Nueces","P",
"Agua Fria","NM","87501","505","35049","Santa Fe","N",
"Agua Linda","AZ","85640","520","04023","Santa Cruz","N",
"Agua Nueva","TX","78361","361","48247","Jim Hogg","N",
"Aguada","PR","00602","787","72003","Aguada","P",
"Aguadilla","PR","00603","787","72005","Aguadilla","P",
"Aguadilla","PR","00604","787","72005","Aguadilla","P","P"
"Aguadilla","PR","00605","787","72005","Aguadilla","P","P"
"Aguanga","CA","92536","951","06065","Riverside","P",
"Aguas Buenas","PR","00703","787","72007","Aguas Buenas","P",
"Aguila","AZ","85320","520","04013","Maricopa","P","P"
"Aguilar","CO","81020","719","08071","Las Animas","P",
"Aguilares","TX","78369","361","48479","Webb","N",
"Aguirre","PR","00704","787","72123","Salinas","P",
"Ah Gwah Ching","MN","56430","218","27021","Cass","P","P"
"Ahmeek","MI","49901","906","26083","Keweenaw","P","P"
"Aho","NC","28605","828","37189","Watauga","N",
"Ahoskie","NC","27910","252","37091","Hertford","P",
"Ahsahka","ID","83520","208","16035","Clearwater","P",
"Ahtanum","WA","98902","509","53077","Yakima","N",
"Ahualoa","HI","96727","808","15001","Hawaii","N",
"Ahwahnee","CA","93601","559","06039","Madera","P",
"Aibonito","PR","00705","787","72009","Aibonito","P",
